joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
7.3260156,7.275569,7.3443156,7.429626,7.2318355,7.21948,5.7568584,5.969034,7.17067,7.3016697,7.1962715,7.1914335
7.2264143,7.2609592,7.2415477,7.22046,7.2227064,7.2151857,7.2601477,7.206983,7.200222,7.230379,8.167275,7.253616
7.211942,7.201965,7.5398694,7.1365744,5.89347,6.6673547,7.198257,7.151868,7.194322,7.505586,7.449493,5.842629
4.6728283,7.200405,5.853191,5.471885,4.028337,4.661704,4.786945,4.525173,7.2507955,7.211472,7.2401434,6.773477
4.977146,7.1682073,7.1932407,6.9663306,7.182587,7.1758543,7.1800905,2.7969745,7.19748,7.1913606,7.1998683,6.5730277
6.287282,2.074325,4.0685555,3.4719895,7.2132765,4.1393314,5.1990458,2.5425232,7.1313053,6.284054,7.2063137,7.20932
7.253643,7.196969,7.212277,5.5390574,7.205209,4.1820484,5.707704,4.537713,7.2015563,7.217043,5.4309817,5.89253
3.891831,6.7176844,2.08952,7.3485995,6.6398593,1.7050684,5.2337185,6.995735,7.199959,5.7911416,5.742579,3.2987994
7.2197333,7.286268,7.3471247,7.334556,7.2133265,7.220038,7.328837,7.177073,7.20377,7.2098957,7.2079073,7.215825
5.698579,3.6643024,7.2858926,4.3974396,5.280188,4.0094167,5.0080153,4.870179,7.202093,7.269365,7.2739645,7.2018376
7.179196,6.428561,7.0884596,3.0241278,4.624625,7.210892,7.1106854,3.4997097,7.1764894,7.2043153,7.183889,3.4458428
7.2087747,7.1731997,4.2686697,3.864791,7.3174635,7.187236,4.467865,4.5832196,7.2001983,4.4840704,6.095583,7.1832453
7.2275887,0.5397105,7.5075775,0.6366708,7.219713,1.499582,7.2792674,1.9246832,7.2035275,7.252657,7.371903,4.29945
7.4657722,7.2228876,7.293614,7.217734,7.209649,4.7161127,7.194263,7.291952,7.213224,7.271124,9.770122,7.3644205
7.1884156,7.055077,7.223703,2.927955,1.4086202,5.809806,7.1922656,0.7793842,7.200244,7.2252193,7.21671,5.4184996
4.329349,7.234925,7.208508,5.951781,6.7641264,7.139857,7.251589,5.82024,7.1857677,5.4731723,6.7559043,7.2103616
7.198381,4.161258,7.238122,7.2717143,7.0477468,6.645546,6.1305214,7.2987896,7.0450135,7.438405,7.208205,7.200095
7.2812882,7.4018436,7.2995606,7.356986,7.343055,7.2406097,7.342156,7.4192496,7.203765,7.5014935,7.2238327,7.323024
7.232986,4.2725545,7.0571753,7.1503902,3.5491231,4.81594,4.0715486,7.1691323,7.2035924,7.2093817,3.893242,7.189281
3.8968764,6.528136,4.8636423,7.337075,7.1606017,2.7420808,3.6790777,3.3044022,7.2338935,4.3036858,7.0569736,7.219868
3.6487704,7.2864805,4.514881,6.659092,3.911839,7.2707582,6.781527,2.1916922,6.04692,7.1985956,5.810874,6.52924
7.204215,6.6112796,3.505544,5.9369813,7.216611,4.7480412,7.2325207,7.172413,7.2798854,7.2407413,7.20018,6.376487
7.3438507,7.365137,7.2448655,5.6732875,7.1955667,7.2397176,6.7743765,7.2374636,7.300659,7.2145916,7.2479645,7.217644
3.680585,7.2154323,7.3592697,7.282729,3.917685,7.2131086,7.204525,5.5205275,7.204614,7.2031833,7.204727,6.4679323
7.0809403,4.9970323,7.134303,7.256132,7.2026244,6.2077356,7.2451902,7.173821,5.441094,7.1991435,6.9787594,6.834409
4.104105,4.188328,4.3164044,7.321969,4.287269,5.1905433,3.617131,7.254056,7.482824,3.51247,3.4354783,7.190302
7.2633286,7.2539907,7.360515,7.2499743,7.1731487,7.201036,7.2248116,7.190188,7.529129,7.2265674,7.27761,7.2211324
5.506146,7.222075,7.0293895,7.124854,3.9495646,2.9415608,7.251238,6.078409,7.484158,7.2549206,7.210979,7.228671
7.407596,7.2436553,7.313039,7.2461687,7.2385856,7.2400585,7.1998006,7.2801963,7.253445,7.2129303,7.3704153,7.2853695
7.3115664,7.2618423,7.301578,7.2347265,7.256014,7.2094437,7.2453385,7.210056,7.2023293,7.217927,7.220193,7.296952
7.244705,7.3153854,7.278544,7.1690536,7.2865993,7.208199,7.3602134,7.2544075,7.2294494,7.225507,7.2553235,7.226192
5.2527724,4.2763268,5.5660416,5.0163246,4.156687,1.9104262,6.17535,1.7571555,7.198018,3.941146,7.2468754,1.2214923
7.239942,7.313406,7.2754336,7.2211734,7.338267,7.2083827,7.2999865,7.2858816,7.2015515,7.205503,7.2032586,7.221565
3.2908474,4.1122776,3.818635,4.558922,7.1691633,3.4881516,4.976388,6.843241,6.829647,4.9241158,7.2037855,3.258615
7.2019073,6.903518,7.3902236,7.285301,6.0967823,4.5221425,7.2195283,4.1266733,7.202037,7.2365175,7.1878005,7.814923
7.198998,4.193925,7.263832,7.354299,7.364703,2.18664,4.4005805,7.0686437,7.3380757,7.198302,7.214386,7.204452
4.436276,7.1416026,7.2820397,3.014269,3.661725,2.6624726,3.8240996,3.4196177,7.1621843,7.1998187,7.302671,6.9536916
7.24535,7.289548,8.738302,6.645445,7.1958605,7.2238666,7.2007676,7.3027044,7.201201,7.192746,7.217848,7.1692987
7.201994,7.2621146,7.418012,7.2235795,6.3642217,7.164522,7.202,5.377378,7.0377604,7.2015573,7.1966167,7.339511
7.2066008,5.817964,6.688329,7.0598417,2.1377996,4.232432,7.103111,4.8885003,3.3631094,5.0196568,7.1089216,7.2055174
